subject,condition,repeat,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
money,4008,6,0.131336,0.046066,5.505555,1.325162,0.417355,89.982143
money,4008,7,0.131336,0.080261,5.505556,1.024034,0.417355,89.982143
money,4008,8,0.131336,0.191814,5.505556,0.624471,0.417355,89.982143
money,4008,9,0.131336,0.078513,5.505557,1.969547,0.417355,89.982143
money,4008,10,0.131336,0.120404,5.505557,0.712423,0.417355,89.982143
money,4009,1,0.353740,0.066335,5.815896,5.335954,0.762152,42.183124
money,4009,2,0.353740,0.135506,5.815896,2.945568,0.762152,42.183124
money,4009,3,0.353740,0.123117,5.815896,1.542133,0.762152,42.183124
money,4009,4,0.353740,0.242079,5.815896,2.047459,0.762152,42.183124
money,4009,5,0.353740,0.113822,5.815896,2.334140,0.762152,42.183124
money,4009,6,0.353740,0.094688,5.815896,1.592490,0.762152,42.183124
money,4009,7,0.353740,0.138918,5.815896,0.946649,0.762152,42.183124
money,4009,8,0.353740,1.412717,5.815896,1.638457,0.762152,42.183124
money,4009,9,0.353740,0.100228,5.815896,0.771375,0.762152,42.183124
money,4009,10,0.353740,0.080394,5.815896,1.722623,0.762152,42.183124
money,4010,1,0.153557,0.188130,3.564135,0.498756,0.327508,98.626765
money,4010,2,0.153557,0.125718,3.564135,2.977049,0.327508,98.626765
money,4010,3,0.153557,0.137000,3.564135,1.050948,0.327508,98.626765
money,4010,4,0.153557,0.270395,3.564135,2.396693,0.327508,98.626765
money,4010,5,0.153557,0.105859,3.564135,0.870076,0.327508,98.626765
money,4010,6,0.153557,0.101925,3.564135,0.730068,0.327508,98.626765
money,4010,7,0.153557,0.072078,3.564135,2.485907,0.327508,98.626765
money,4010,8,0.153557,0.391526,3.564135,2.762389,0.327508,98.626765
money,4010,9,0.153557,0.387376,3.564135,1.234742,0.327508,98.626765
money,4010,10,0.153557,0.094162,3.564135,0.494085,0.327508,98.626765
money,4012,1,0.213282,0.073297,30.672261,34.039619,0.932612,18.552299
money,4012,2,0.213282,0.074059,30.672260,34.724316,0.932612,18.552299
money,4012,3,0.213282,0.076730,30.672260,36.322488,0.932612,18.552299
money,4012,4,0.213282,0.153984,30.672260,31.379111,0.932612,18.552299
money,4012,5,0.213282,0.401506,30.672263,37.409516,0.932612,18.552299
money,4012,6,0.213282,0.088895,30.672264,32.654364,0.932612,18.552299
money,4012,7,0.084378,0.081835,49.999990,38.848545,0.932612,18.552299
money,4012,8,0.084378,0.070931,49.999990,39.022668,0.932612,18.552299
money,4012,9,0.213282,0.149775,30.672259,34.270831,0.932612,18.552299
money,4012,10,0.213282,0.082482,30.672264,30.523526,0.932612,18.552300
money,4013,1,0.389795,0.069889,6.323702,0.654676,0.750772,43.760721
money,4013,2,0.389795,0.073337,6.323702,1.009129,0.750772,43.760721
money,4013,3,0.389795,0.082079,6.323702,1.260045,0.750772,43.760721
money,4013,4,0.389795,0.083565,6.323702,1.450076,0.750772,43.760721
money,4013,5,0.389795,0.087759,6.323702,1.352505,0.750772,43.760721
money,4013,6,0.389795,0.073514,6.323702,3.403723,0.750772,43.760721
money,4013,7,0.389795,0.147792,6.323701,1.238256,0.750772,43.760721
money,4013,8,0.389795,0.050655,6.323702,1.423591,0.750772,43.760721
money,4013,9,0.389795,0.084055,6.323702,1.073920,0.750772,43.760721
money,4013,10,0.389795,0.085129,6.323702,1.153855,0.750772,43.760721
money,4014,1,0.498836,0.114135,4.171187,0.649499,0.693022,51.766541
money,4014,2,0.498836,0.263320,4.171187,0.208791,0.693022,51.766541
money,4014,3,0.498836,0.360975,4.171187,1.048156,0.693022,51.766541
money,4014,4,0.498836,0.266613,4.171187,0.387584,0.693022,51.766541
money,4014,5,0.498836,0.169558,4.171187,1.082389,0.693022,51.766541
money,4014,6,0.498836,0.118673,4.171187,1.478945,0.693022,51.766541
money,4014,7,0.498836,0.311817,4.171187,2.425796,0.693022,51.766541
money,4014,8,0.498836,0.200398,4.171187,4.848405,0.693022,51.766541
money,4014,9,0.498836,0.116639,4.171187,0.616803,0.693022,51.766541
money,4014,10,0.498836,0.153256,4.171187,0.821209,0.693022,51.766541
money,4015,1,0.154728,0.244139,8.078784,3.118450,0.615696,60.827014
money,4015,2,0.154728,0.069981,8.078784,2.330605,0.615696,60.827014
money,4015,3,0.154728,0.132748,8.078784,4.909403,0.615696,60.827014
money,4015,4,0.154728,0.054492,8.078784,2.052182,0.615696,60.827014
money,4015,5,0.154728,0.159049,8.078784,4.929442,0.615696,60.827014
money,4015,6,0.154728,0.061555,8.078784,9.047482,0.615696,60.827014
money,4015,7,0.154728,0.046162,8.078784,0.909414,0.615696,60.827014
money,4015,8,0.154728,0.074375,8.078783,1.850942,0.615696,60.827014
money,4015,9,0.154728,0.339670,8.078784,2.417061,0.615696,60.827014
money,4015,10,0.154728,0.039657,8.078784,1.845367,0.615696,60.827014
money,4016,1,0.529730,0.060283,10.092393,3.854121,0.838926,31.539887
money,4016,2,0.529730,0.086029,10.092394,1.002386,0.838926,31.539887
money,4016,3,0.529730,0.165644,10.092393,10.078845,0.838926,31.539887
money,4016,4,0.529730,0.055303,10.092393,4.336636,0.838926,31.539887
money,4016,5,0.529730,0.149411,10.092393,2.362068,0.838926,31.539887
money,4016,6,0.529730,0.066476,10.092393,2.801061,0.838926,31.539887
money,4016,7,0.529730,0.061691,10.092394,2.769525,0.838926,31.539887
money,4016,8,0.529730,0.060862,10.092394,4.235357,0.838926,31.539887
money,4016,9,0.529730,0.086637,10.092393,1.670037,0.838926,31.539887
money,4016,10,0.529730,0.288347,10.092393,3.536788,0.838926,31.539887
money,4017,1,0.523371,0.129754,4.791675,2.285237,0.633170,60.063810
money,4017,2,0.523371,0.088456,4.791675,4.334534,0.633170,60.063810
money,4017,3,0.523371,0.074677,4.791675,0.920106,0.633170,60.063810
money,4017,4,0.523371,0.113964,4.791675,1.567666,0.633170,60.063810
money,4017,5,0.523371,0.139588,4.791675,1.152893,0.633170,60.063810
money,4017,6,0.523371,0.047221,4.791675,0.891285,0.633170,60.063810
money,4017,7,0.523371,1.055775,4.791675,2.670613,0.633170,60.063810
money,4017,8,0.523371,0.978518,4.791675,9.607564,0.633170,60.063810
money,4017,9,0.523371,0.106605,4.791675,1.203143,0.633170,60.063810
money,4017,10,0.523371,0.132280,4.791675,1.118008,0.633170,60.063810
money,4018,1,0.340367,0.290538,4.252906,1.220656,0.654081,55.165067
money,4018,2,0.340367,0.127196,4.252906,0.553222,0.654081,55.165067
money,4018,3,0.340367,0.745255,4.252906,0.451510,0.654081,55.165067
money,4018,4,0.340367,0.133046,4.252906,2.083236,0.654081,55.165067
money,4018,5,0.340367,0.231651,4.252906,0.586267,0.654081,55.165067
money,4018,6,0.340367,0.139251,4.252906,1.236726,0.654081,55.165067
money,4018,7,0.340367,0.161535,4.252906,2.037123,0.654081,55.165067
money,4018,8,0.340367,0.159898,4.252905,1.202540,0.654081,55.165067
money,4018,9,0.340367,0.717970,4.252905,0.546162,0.654081,55.165067
money,4018,10,0.340367,0.072465,4.252906,0.668900,0.654081,55.165067
money,4019,1,0.459510,0.073868,7.585945,1.929505,0.746048,44.415561
money,4019,2,0.459510,0.072533,7.585945,2.396639,0.746048,44.415561
money,4019,3,0.459510,0.267869,7.585945,10.994735,0.746048,44.415561
money,4019,4,0.459510,0.049715,7.585945,1.476306,0.746048,44.415561
money,4019,5,0.459510,0.064674,7.585945,2.553237,0.746048,44.415561
money,4019,6,0.459510,0.087193,7.585945,1.818285,0.746048,44.415561
money,4019,7,0.459510,0.073459,7.585945,3.986962,0.746048,44.415561
money,4019,8,0.459510,0.126060,7.585945,1.878965,0.746048,44.415561
money,4019,9,0.459510,0.072904,7.585945,1.534852,0.746048,44.415561
money,4019,10,0.459510,0.080270,7.585945,1.421360,0.746048,44.415561
money,4020,1,0.476264,0.064794,7.508169,1.893420,0.746900,44.297461
money,4020,2,0.476264,0.076299,7.508169,7.480674,0.746900,44.297461
money,4020,3,0.476264,0.123257,7.508169,1.262644,0.746900,44.297461
money,4020,4,0.476264,0.111823,7.508169,0.838850,0.746900,44.297461
money,4020,5,0.476264,0.090721,7.508169,1.888716,0.746900,44.297461
money,4020,6,0.476264,0.086026,7.508169,1.939980,0.746900,44.297461
money,4020,7,0.476264,0.086501,7.508169,3.235979,0.746900,44.297461
money,4020,8,0.476264,0.120864,7.508169,0.999822,0.746900,44.297461
money,4020,9,0.476264,1.301041,7.508169,4.865706,0.746900,44.297461
money,4020,10,0.476264,0.535887,7.508169,1.931734,0.746900,44.297461
money,4021,1,0.422167,0.114880,6.941165,2.169573,0.803765,35.829847
money,4021,2,0.422167,0.122631,6.941165,1.991502,0.803765,35.829847
money,4021,3,0.422167,0.106649,6.941165,0.750307,0.803765,35.829847
money,4021,4,0.422167,0.121660,6.941165,1.780523,0.803765,35.829847
money,4021,5,0.422167,0.117082,6.941165,1.982438,0.803765,35.829847
money,4021,6,0.422167,0.155167,6.941165,5.496111,0.803765,35.829847
money,4021,7,0.422167,0.109718,6.941165,2.774914,0.803765,35.829847
money,4021,8,0.422167,0.118996,6.941165,1.709706,0.803765,35.829847
money,4021,9,0.422167,0.319568,6.941165,5.334133,0.803765,35.829847
money,4021,10,0.422167,0.822435,6.941165,3.201533,0.803765,35.829847
money,4022,1,0.118930,0.054441,5.479738,0.827089,0.404518,90.070180
money,4022,2,0.118930,0.073004,5.479738,0.147198,0.404518,90.070180
money,4022,3,0.118930,0.371440,5.479738,0.417072,0.404518,90.070180
money,4022,4,0.118930,0.050942,5.479738,2.523029,0.404518,90.070180
money,4022,5,0.118930,0.250530,5.479739,17.257734,0.404518,90.070180
money,4022,6,0.118930,0.219953,5.479738,4.209334,0.404518,90.070180
money,4022,7,0.118930,0.062385,5.479738,0.386175,0.404518,90.070180
money,4022,8,0.118930,0.066336,5.479739,1.300178,0.404518,90.070180
money,4022,9,0.118930,0.064753,5.479738,0.790400,0.404518,90.070180
money,4022,10,0.118930,0.072812,5.479739,0.176387,0.404518,90.070180
money,4023,1,0.441071,0.089899,26.814925,20.217655,0.906172,22.067448
money,4023,2,0.441071,0.099182,26.814917,9.554606,0.906172,22.067448
money,4023,3,0.441071,0.089894,26.814925,20.496681,0.906172,22.067448
money,4023,4,0.441071,0.082366,26.814922,15.486615,0.906172,22.067448
money,4023,5,0.441071,0.088838,26.814919,20.557510,0.906172,22.067448
money,4023,6,0.441071,0.089240,26.814928,20.035999,0.906172,22.067448
money,4023,7,0.441071,0.095282,26.814918,9.161391,0.906172,22.067448
money,4023,8,0.441071,0.761120,26.814926,72.508504,0.906172,22.067448
money,4023,9,0.441071,0.088683,26.814926,19.816342,0.906172,22.067448
money,4023,10,0.441071,0.092810,26.814927,15.094168,0.906172,22.067448
money,4025,1,0.060819,0.116391,32.383266,54.883292,0.886703,24.739512
money,4025,2,0.060819,0.090210,32.383277,50.949126,0.886703,24.739512
money,4025,3,0.060818,0.890595,32.383362,61.787700,0.886703,24.739512
money,4025,4,0.060819,0.081387,32.383283,46.208368,0.886703,24.739512
money,4025,5,0.060819,0.203806,32.383242,47.139945,0.886703,24.739512
money,4025,6,0.060819,0.085402,32.383297,48.662923,0.886703,24.739512
money,4025,7,0.060819,0.156545,32.383212,96.236463,0.886703,24.739512
money,4025,8,0.060819,0.113621,32.383279,67.298683,0.886703,24.739512
money,4025,9,0.060819,0.084886,32.383335,48.384437,0.886703,24.739512
money,4025,10,0.060819,0.118986,32.383282,73.165097,0.886703,24.739512
money,4026,1,0.461531,0.190176,2.762431,0.648245,0.317257,88.366225
money,4026,2,0.461531,0.388514,2.762431,1.703479,0.317257,88.366225
money,4026,3,0.461531,1.566659,2.762431,4.232683,0.317257,88.366225
money,4026,4,0.461531,0.157725,2.762431,0.966233,0.317257,88.366225
money,4026,5,0.461531,1.395901,2.762431,2.888692,0.317257,88.366225
money,4026,6,0.461531,0.165131,2.762430,1.628125,0.317257,88.366225
money,4026,7,0.461531,0.276560,2.762431,1.623607,0.317257,88.366225
money,4026,8,0.461531,0.187024,2.762431,0.176287,0.317257,88.366225
money,4026,9,0.461531,0.179067,2.762431,0.764112,0.317257,88.366225
money,4026,10,0.461531,0.760799,2.762431,0.712293,0.317257,88.366225
money,4027,1,0.583404,0.115109,3.452614,0.695711,0.618194,61.590492
money,4027,2,0.583404,0.133007,3.452613,0.650028,0.618194,61.590492
money,4027,3,0.583404,0.130912,3.452613,0.651689,0.618194,61.590492
money,4027,4,0.583404,1.145152,3.452614,0.069123,0.618194,61.590492
money,4027,5,0.583404,0.122022,3.452613,0.705959,0.618194,61.590492
money,4027,6,0.583404,0.120208,3.452614,0.830690,0.618194,61.590492
money,4027,7,0.583404,0.120597,3.452613,0.742526,0.618194,61.590492
money,4027,8,0.583404,0.114017,3.452614,0.743576,0.618194,61.590492
money,4027,9,0.583404,0.178002,3.452613,0.459534,0.618194,61.590492
money,4027,10,0.583404,0.121826,3.452614,2.428485,0.618194,61.590492
money,4028,1,0.033731,0.015925,25.144643,12.982014,0.765031,40.745785
money,4028,2,0.033731,0.361813,25.144584,43.961260,0.765031,40.745785
money,4028,3,0.033731,0.024770,25.144628,17.663430,0.765031,40.745785
money,4028,4,0.033731,0.050068,25.144269,38.606885,0.765031,40.745785
money,4028,5,0.033731,0.063802,25.144519,50.174940,0.765031,40.745785
money,4028,6,0.033731,1.348868,25.144252,94.211399,0.765031,40.745785
money,4028,7,0.033731,0.052137,25.144429,40.854919,0.765031,40.745785
money,4028,8,0.033731,0.050032,25.144511,39.194697,0.765031,40.745785
money,4028,9,0.033731,0.049539,25.144668,37.582306,0.765031,40.745785
money,4028,10,0.033731,0.055388,25.144539,38.362144,0.765031,40.745785
money,4029,1,0.292581,0.354381,5.246554,1.928744,0.756011,39.801597
money,4029,2,0.292581,0.174217,5.246554,1.229765,0.756011,39.801597
money,4029,3,0.292581,0.121645,5.246554,1.083721,0.756011,39.801597
money,4029,4,0.292581,0.151112,5.246554,1.216054,0.756011,39.801597
money,4029,5,0.292581,0.112297,5.246554,1.319768,0.756011,39.801597
money,4029,6,0.292581,0.100536,5.246554,1.132640,0.756011,39.801597
money,4029,7,0.292581,0.195499,5.246554,1.730332,0.756011,39.801597
money,4029,8,0.292581,0.112561,5.246554,1.492845,0.756011,39.801597
money,4029,9,0.292581,0.102024,5.246554,2.212251,0.756011,39.801597
money,4029,10,0.292581,0.101801,5.246554,1.824360,0.756011,39.801597
money,4030,1,0.355179,0.049806,19.279642,7.116840,0.846565,29.781860
money,4030,2,0.355179,0.049727,19.279642,7.132313,0.846565,29.781860
money,4030,3,0.355179,0.040504,19.279641,4.038939,0.846565,29.781860
money,4030,4,0.355179,0.049113,19.279642,7.063914,0.846565,29.781860
money,4030,5,0.355179,0.137074,19.279642,10.613257,0.846565,29.781860
money,4030,6,0.355179,0.049591,19.279643,7.109964,0.846565,29.781860
money,4030,7,0.355179,0.151135,19.279642,6.891161,0.846565,29.781860
money,4030,8,0.355179,0.176793,19.279642,6.472174,0.846565,29.781860
money,4030,9,0.355179,0.045659,19.279643,15.053603,0.846565,29.781860
money,4030,10,0.355179,0.252477,19.279642,7.089729,0.846565,29.781860
money,4031,1,0.760772,0.145855,4.246360,0.958265,0.694269,51.149713
money,4031,2,0.760772,0.469405,4.246360,1.803529,0.694269,51.149713
money,4031,3,0.760772,0.203318,4.246360,0.486833,0.694269,51.149713
money,4031,4,0.760772,0.145161,4.246360,0.977235,0.694269,51.149713
money,4031,5,0.760772,0.140833,4.246360,0.929369,0.694269,51.149713
money,4031,6,0.760772,0.140690,4.246360,1.049053,0.694269,51.149713
money,4031,7,0.760772,0.232377,4.246360,0.562417,0.694269,51.149713
money,4031,8,0.760772,0.152497,4.246360,1.045646,0.694269,51.149713
money,4031,9,0.760772,0.136954,4.246360,0.967763,0.694269,51.149713
money,4031,10,0.760772,0.143981,4.246360,1.001476,0.694269,51.149713
money,4033,1,0.036775,0.030998,49.999994,33.842640,0.807269,33.624262
money,4033,2,0.036775,0.040225,49.999994,35.570762,0.807269,33.624262
money,4033,3,0.036775,0.041831,49.999994,33.525683,0.807269,33.624262
money,4033,4,0.036775,0.028951,49.999430,32.328225,0.807269,33.624262
money,4033,5,0.036775,0.031774,49.999994,33.711106,0.807269,33.624262
money,4033,6,0.036775,0.087542,49.999994,35.393978,0.807269,33.624262
money,4033,7,0.036775,0.024947,49.999994,33.258268,0.807269,33.624262
money,4033,8,0.036775,0.010756,49.999430,32.056087,0.807269,33.624262
money,4033,9,0.036775,0.027800,49.999994,32.172082,0.807269,33.624262
money,4033,10,0.036775,0.037408,49.999977,34.071040,0.807269,33.624262
money,4034,1,0.614679,0.941304,49.999987,268.522622,0.903040,22.651807
money,4034,2,0.614678,1.223354,49.999665,263.579516,0.903040,22.651807
money,4034,3,0.614678,0.255921,49.999665,264.382344,0.903040,22.651807
money,4034,4,0.614678,0.177191,49.999665,259.356706,0.903040,22.651807
money,4034,5,0.614678,0.797440,49.999665,246.843982,0.903040,22.651807
money,4034,6,0.614679,1.738545,49.999987,279.117765,0.903040,22.651807
money,4034,7,0.614679,2.245852,49.999987,308.107550,0.903040,22.651807
money,4034,8,0.614678,1.128784,49.999665,304.754734,0.903040,22.651807
money,4034,9,0.614678,1.831140,49.999665,273.807142,0.903040,22.651807
money,4034,10,0.614678,1.218198,49.999933,295.099543,0.903040,22.651807
money,4035,1,0.446641,0.188077,5.888325,1.639937,0.763370,42.014285
money,4035,2,0.446641,0.181722,5.888325,1.548530,0.763370,42.014285
money,4035,3,0.446641,0.454732,5.888325,1.189328,0.763370,42.014285
money,4035,4,0.446641,0.168914,5.888325,6.485655,0.763370,42.014285
money,4035,5,0.446641,0.372052,5.888325,3.322136,0.763370,42.014285
money,4035,6,0.446641,0.120207,5.888325,1.506287,0.763370,42.014285
money,4035,7,0.446641,0.154467,5.888325,2.087634,0.763370,42.014285
money,4035,8,0.446641,1.534845,5.888325,4.537782,0.763370,42.014285
money,4035,9,0.446641,0.170049,5.888325,0.324697,0.763370,42.014285
money,4035,10,0.446641,0.119797,5.888326,4.681358,0.763370,42.014285
money,4036,1,0.452981,0.087282,7.301685,1.645385,0.810128,35.248820
money,4036,2,0.452981,0.084715,7.301685,1.909442,0.810128,35.248820
money,4036,3,0.452981,0.103997,7.301685,0.526498,0.810128,35.248820
money,4036,4,0.452981,0.087275,7.301685,1.651782,0.810128,35.248820
money,4036,5,0.452981,0.087450,7.301685,1.646560,0.810128,35.248820
money,4036,6,0.452981,0.084578,7.301685,1.680638,0.810128,35.248820
money,4036,7,0.452981,0.088139,7.301685,1.645327,0.810128,35.248820
money,4036,8,0.452981,0.103322,7.301685,1.644917,0.810128,35.248820
money,4036,9,0.452981,0.078742,7.301685,1.768874,0.810128,35.248820
money,4036,10,0.452981,0.636416,7.301685,2.388885,0.810128,35.248820
social,3002,1,0.108561,0.108635,6.260798,9.446957,0.314292,99.414061
social,3002,2,0.108561,0.138215,6.260798,4.098141,0.314292,99.414061
social,3002,3,0.108561,0.224607,6.260799,1.645115,0.314292,99.414061
social,3002,4,0.108561,1.083866,6.260798,3.013253,0.314292,99.414061
social,3002,5,0.108561,0.488183,6.260797,3.050901,0.314292,99.414061
social,3002,6,0.108561,0.042432,6.260797,0.965553,0.314292,99.414061
social,3002,7,0.108561,0.039455,6.260797,1.322158,0.314292,99.414061
social,3002,8,0.108561,3.301373,6.260797,63.895410,0.314292,99.414061
social,3002,9,0.108561,0.034217,6.260800,2.821317,0.314292,99.414061
social,3002,10,0.108561,0.023980,6.260798,2.784862,0.314292,99.414061
social,3004,1,0.589825,0.204980,5.520645,0.990277,0.746594,43.596943
social,3004,2,0.589825,0.400893,5.520645,2.177403,0.746594,43.596943
social,3004,3,0.589825,0.113181,5.520645,1.405479,0.746594,43.596943
social,3004,4,0.589825,0.085043,5.520645,1.122384,0.746594,43.596943
social,3004,5,0.589825,0.161931,5.520645,2.731988,0.746594,43.596943
social,3004,6,0.589825,0.108005,5.520645,1.272964,0.746594,43.596943
social,3004,7,0.589825,0.111779,5.520645,0.741575,0.746594,43.596943
social,3004,8,0.589825,0.057345,5.520645,1.927844,0.746594,43.596943
social,3004,9,0.589825,0.104116,5.520645,1.199964,0.746594,43.596943
social,3004,10,0.589825,0.098472,5.520645,2.694044,0.746594,43.596943
social,3005,1,0.000636,0.000859,49.656209,61.638420,0.029056,142.445658
social,3005,2,0.000632,0.000319,49.930507,22.588887,0.029056,142.445658
social,3005,3,0.000631,0.002302,49.986080,182.059507,0.029056,142.445658
social,3005,4,0.000710,0.000589,44.470836,7.461618,0.029056,142.445658
social,3005,5,0.000653,0.010320,48.368051,646.082397,0.029056,142.445658
social,3005,6,0.000632,0.001320,49.930452,99.853883,0.029056,142.445658
social,3005,7,0.000636,0.005232,49.656178,412.233727,0.029056,142.445658
social,3005,8,0.000631,0.002987,49.997211,223.493558,0.029056,142.445658
social,3005,9,0.000631,0.000444,49.985977,47.698506,0.029056,142.445658
social,3005,10,0.000728,0.002342,43.416601,185.421105,0.029056,142.445658
social,3006,1,0.180628,0.066118,6.697528,0.471925,0.786817,38.132279
social,3006,2,0.180628,0.095371,6.697528,2.497263,0.786817,38.132279
social,3006,3,0.180628,0.295987,6.697528,0.810786,0.786817,38.132279
social,3006,4,0.180628,0.204269,6.697528,1.282498,0.786817,38.132279
social,3006,5,0.180628,0.072271,6.697527,1.150431,0.786817,38.132279
social,3006,6,0.180628,0.092577,6.697528,1.570109,0.786817,38.132279
social,3006,7,0.180628,0.103443,6.697528,3.410888,0.786817,38.132279
social,3006,8,0.180628,0.035815,6.697528,1.127081,0.786817,38.132279
social,3006,9,0.180628,0.076970,6.697528,1.865334,0.786817,38.132279
social,3006,10,0.180628,0.053514,6.697528,1.547440,0.786817,38.132279
social,3010,1,0.390684,0.171530,1.042839,0.468077,0.102985,119.651125
social,3010,2,0.390684,0.465370,1.042839,0.206109,0.102985,119.651125
social,3010,3,0.390684,0.119221,1.042839,0.116232,0.102985,119.651125
social,3010,4,0.390684,0.079985,1.042839,0.426696,0.102985,119.651125
social,3010,5,0.390684,0.187434,1.042839,0.180788,0.102985,119.651125
social,3010,6,0.390684,0.128780,1.042839,0.321960,0.102985,119.651125
social,3010,7,0.390684,0.610815,1.042839,1.874726,0.102985,119.651125
social,3010,8,0.390684,2.709014,1.042839,0.054371,0.102985,119.651125
social,3010,9,0.390684,0.274814,1.042839,0.649861,0.102985,119.651125
social,3010,10,0.390684,0.124101,1.042839,0.271131,0.102985,119.651125
social,3011,1,0.051522,0.015769,4.261490,1.716343,0.340782,96.860198
social,3011,2,0.051522,0.027473,4.261489,1.139470,0.340782,96.860198
social,3011,3,0.051521,0.022170,4.261493,0.889068,0.340782,96.860198
social,3011,4,0.051522,0.023711,4.261488,0.715296,0.340782,96.860198
social,3011,5,0.051522,0.021837,4.261489,0.757933,0.340782,96.860198
social,3011,6,0.051522,0.031439,4.261489,1.604561,0.340782,96.860198
social,3011,7,0.051522,0.108815,4.261489,2.136436,0.340782,96.860198
social,3011,8,0.051522,0.029623,4.261492,1.182933,0.340782,96.860198
social,3011,9,0.051522,0.053352,4.261490,2.588435,0.340782,96.860198
social,3011,10,0.051522,1.622328,4.261489,13.826211,0.340782,96.860198
social,3014,1,0.358987,0.139354,3.314551,0.597824,0.502382,70.373526
social,3014,2,0.358987,0.235066,3.314551,0.372842,0.502382,70.373526
social,3014,3,0.358987,0.090869,3.314551,1.949899,0.502382,70.373526
social,3014,4,0.358987,0.155705,3.314551,0.651435,0.502382,70.373526
social,3014,5,0.358987,0.116190,3.314551,0.418059,0.502382,70.373526
social,3014,6,0.358987,0.250836,3.314551,0.617841,0.502382,70.373526
social,3014,7,0.358987,0.188433,3.314551,0.521396,0.502382,70.373526
social,3014,8,0.358987,0.137337,3.314551,0.402829,0.502382,70.373526
social,3014,9,0.358987,0.462372,3.314551,1.026940,0.502382,70.373526
social,3014,10,0.358987,0.264461,3.314551,0.662274,0.502382,70.373526
social,3015,1,0.028959,0.010187,49.999996,11.904406,0.741717,42.743832
social,3015,2,0.250317,0.020002,8.619298,26.612272,0.741717,42.743832
social,3015,3,0.028959,0.136897,49.999985,37.588778,0.741717,42.743832
social,3015,4,0.028960,0.022512,49.999622,31.258368,0.741717,42.743832
social,3015,5,0.028960,0.077987,49.999622,31.029173,0.741717,42.743832
social,3015,6,0.028959,0.008167,49.999996,4.322633,0.741717,42.743832
social,3015,7,0.028959,0.007892,49.999999,2.296261,0.741717,42.743832
social,3015,8,0.028959,0.014489,49.999999,19.799662,0.741717,42.743832
social,3015,9,0.250317,0.022247,8.619298,37.357552,0.741717,42.743832
social,3015,10,0.028960,0.012822,49.999924,16.631739,0.741717,42.743832
social,3016,1,0.488969,0.101696,4.355550,0.863568,0.643794,58.591030
social,3016,2,0.488969,0.312331,4.355551,2.216774,0.643794,58.591030
social,3016,3,0.488969,0.461313,4.355551,0.668616,0.643794,58.591030
social,3016,4,0.488969,0.136099,4.355550,0.335977,0.643794,58.591030
social,3016,5,0.488969,0.097900,4.355551,0.829376,0.643794,58.591030
social,3016,6,0.488969,0.100367,4.355550,0.800568,0.643794,58.591030
social,3016,7,0.488969,0.141450,4.355551,0.283665,0.643794,58.591030
social,3016,8,0.488969,0.095304,4.355550,0.921457,0.643794,58.591030
social,3016,9,0.488969,0.092577,4.355551,0.642464,0.643794,58.591030
social,3016,10,0.488969,0.093744,4.355551,1.084222,0.643794,58.591030
social,3017,1,0.116493,0.083005,13.827264,10.391850,0.839618,31.443994
social,3017,2,0.116493,0.033309,13.827261,21.376201,0.839618,31.443994
social,3017,3,0.116493,0.313468,13.827261,34.509300,0.839618,31.443994
social,3017,4,0.116493,0.064548,13.827265,9.660630,0.839618,31.443994
social,3017,5,0.116493,0.054104,13.827260,5.704837,0.839618,31.443994
social,3017,6,0.116492,0.188056,13.827275,7.057722,0.839618,31.443994
social,3017,7,0.116493,0.152269,13.827265,7.827047,0.839618,31.443994
social,3017,8,0.116493,0.078059,13.827269,8.073318,0.839618,31.443994
social,3017,9,0.116493,0.256835,13.827267,16.890079,0.839618,31.443994
social,3017,10,0.116493,0.032281,13.827267,2.576052,0.839618,31.443994
social,3018,1,0.006345,0.014846,49.994971,114.193859,0.509930,77.148486
social,3018,2,0.006344,0.008900,49.999194,66.026571,0.509930,77.148486
social,3018,3,0.006730,0.010851,47.207417,82.864312,0.509930,77.148486
social,3018,4,0.006357,0.027648,49.899803,207.878816,0.509930,77.148486
social,3018,5,0.006357,0.030660,49.899799,227.948625,0.509930,77.148486
social,3018,6,0.006347,0.410602,49.979870,272.021202,0.509930,77.148486
social,3018,7,0.006361,0.007608,49.874899,57.573681,0.509930,77.148486
social,3018,8,0.006409,0.008424,49.507110,67.632587,0.509930,77.148486
social,3018,9,0.006345,0.022779,49.995968,171.902585,0.509930,77.148486
social,3018,10,0.006345,0.014553,49.995977,40.086958,0.509930,77.148486
social,3020,1,0.040801,0.021741,9.976029,3.426675,0.408201,90.410548
social,3020,2,0.040801,0.017126,9.976031,2.026229,0.408201,90.410548
social,3020,3,0.040801,0.059305,9.976021,9.555184,0.408201,90.410548
social,3020,4,0.040801,0.216454,9.976022,2.866016,0.408201,90.410548
social,3020,5,0.040801,0.036172,9.976020,6.091097,0.408201,90.410548
social,3020,6,0.040801,0.494425,9.976023,4.929830,0.408201,90.410548
social,3020,7,0.040801,0.022391,9.976020,3.083077,0.408201,90.410548
social,3020,8,0.040801,0.092421,9.976022,7.593661,0.408201,90.410548
social,3020,9,0.040801,0.015944,9.976023,6.006729,0.408201,90.410548
social,3020,10,0.040801,0.153626,9.976023,6.098116,0.408201,90.410548
social,3021,1,0.323750,0.112922,22.867412,10.207792,0.858721,28.579812
social,3021,2,0.323750,0.073688,22.867410,3.063782,0.858721,28.579812
